PDB_IDs	Ligand_Codes	Predictions	Labels
1gm8	SOX	4.201	4.80
1gpk	HUP	6.356	5.37
1hnn	SKF	6.666	6.24
1hp0	AD3	5.702	6.70
1hq2	PH2	4.725	6.77
1hvy	D16	7.456	6.17
1hwi	115	7.205	7.55
1hww	SWA	5.124	7.70
1ia1	TQ3	5.292	7.47
1j3j	CP6	4.703	8.01
1jd0	AZM	6.795	8.24
1jje	BYS	4.912	8.43
1ke5	LS1	5.844	6.25
1kzk	JE2	9.275	10.40
1l2s	STC	3.436	4.59
1l7f	BCZ	7.005	9.10
1lpz	CMB	7.912	7.60
1lrh	NLA	4.584	6.82
1m2z	DEX	8.454	7.22
1mmv	3AR	4.008	7.24
1n1m	A3M	5.841	5.70
1n2v	BDI	4.007	4.08
1n46	PFA	9.338	10.52
1nav	IH5	8.122	7.60
1of1	SCT	4.216	4.82
1of6	DTY	4.475	6.05
1opk	P16	7.487	9.82
1oq5	CEL	8.227	7.68
1owe	675	6.554	6.20
1oyt	FSN	7.412	7.24
1p2y	NCT	5.469	5.00
1p62	GEO	4.855	4.66
1pmn	984	8.384	8.15
1q1g	MTI	8.305	8.57
1q41	IXM	7.669	7.66
1q4g	BFL	6.546	6.89
1r1h	BIR	8.045	8.92
1r55	097	6.525	6.80
1r58	AO5	6.996	6.96
1r9o	FLP	4.395	5.02
1s19	MC9	7.107	9.51
1s3v	TQD	6.302	7.42
1sg0	STL	4.211	7.47
1sj0	E4D	8.617	9.10
1sq5	PAU	3.743	4.39
1sqn	NDR	8.105	9.40
1t40	ID5	6.791	7.96
1t46	STI	6.778	6.38
1t9b	1CS	3.996	6.90
1tow	CRZ	6.087	6.24
1tt1	KAI	7.567	7.19
1u1c	BAU	4.518	5.37
1uml	FR4	7.926	7.52
1unl	RRC	6.124	6.70
1uou	CMU	4.607	7.70
1v0p	PVB	6.799	6.89
1v48	HA1	6.734	8.16
1v4s	MRK	7.186	6.44
1vcj	IBA	3.980	4.59
1w1p	GIO	2.574	2.30
1w2g	THM	3.331	4.57
1xm6	5RM	6.579	6.38
1xoq	ROF	9.016	9.17
1xoz	CIA	8.803	8.92
1y6b	AAX	7.313	7.42
1ygc	905	8.294	9.46
1yqy	915	5.955	7.62
1ywr	LI9	7.383	7.49
1z95	198	8.599	7.12
2bm2	PM2	7.362	7.82
2br1	PFP	6.024	5.14
2bsm	BSM	7.495	5.82
