PDB_IDs	Ligand_Codes	Predictions	Labels
4fud	6UP	4.9369	6.3500
4fue	7UP	6.2841	7.2300
4fu7	1UP	5.7234	6.2000
4fu8	2UP	4.6261	5.2300
4fu9	675	6.4134	6.2000
4fub	4UP	5.7177	6.2100
4fuc	239	5.6396	7.4000
4fsm	HK1	6.3373	7.6200
4fsw	HK6	4.5641	4.7600
4ft5	H2K	7.6019	7.5600
4fsn	A58	7.9676	7.7000
4fsz	HK8	5.3334	6.9700
4ft7	H3K	8.0443	8.8700
4ft0	HK9	6.0414	7.1100
4ft9	H4K	7.1809	7.6900
4fta	H5K	6.2543	7.3900
4ftc	H6K	7.1551	7.6300
4fsq	HK3	7.0130	8.8000
4fsr	HKC	7.1455	7.9400
4fst	HK4	6.8886	8.2800
4fw3	L52	9.6000	7.2300
4fw4	3P3	9.9467	8.0800
4fw5	L58	9.0802	7.4800
4fw6	L59	9.4789	7.7000
4fw7	L63	8.9569	7.1300
4fux	E75	7.0598	6.0000
4fuy	EK2	6.6404	6.0900
4fv0	EK3	7.7509	5.5900
4fv1	EK4	8.0441	7.0800
4fv2	EK5	7.9119	7.6800
4fv3	EK6	8.2504	7.7400
4ev4	MER	4.8969	7.4000
4fv5	EK9	7.9998	7.7000
4fv7	E94	7.2019	7.5700
4fv8	E63	8.1337	7.8200
4fv9	E71	6.5828	6.7200
4fx3	60K	5.7740	8.0700
4ek4	1CK	5.0367	4.4800
4ek5	03K	6.3359	6.0900
4fkg	4CK	5.4470	4.6700
4fki	09K	6.4917	4.2300
4ek6	10K	6.7385	6.0400
4fjk	DTP	4.6377	6.5500
4ek8	16K	7.8309	7.1100
3sw4	18K	5.8115	6.0200
3sw7	19K	7.9132	6.6400
4fko	20K	6.5056	6.1100
4fkp	LS5	6.8225	6.5400
4fkq	42K	7.1460	6.2800
4fkr	45K	6.7726	6.6400
4fks	46K	6.2336	6.2800
4fkt	48K	5.6045	5.9700
4fku	60K	5.7740	7.0100
4fkv	61K	6.9330	6.6000
4fkw	62K	6.6402	7.3300
