PDB_IDs	Ligand_Codes	Predictions	Labels
1a8i	GLS	4.807	5.52
1a99	PUT	2.342	5.70
1ax0	A2G	3.466	3.13
1b6l	PI4	7.916	8.30
1b6m	PI6	8.293	8.40
1duv	PSQ	3.791	11.80
1dy4	SNP	3.857	4.36
1e2k	TMC	4.130	4.94
1fcx	184	6.977	7.12
1g2k	NM1	7.690	7.96
1gj8	133	5.438	6.96
1gjd	136	5.402	5.22
1gpk	HUP	6.356	5.37
1gyy	FHC	4.262	3.64
1h22	E10	7.363	9.10
1h23	E12	7.548	8.35
1h46	RNP	4.753	3.57
1hnn	SKF	6.666	6.24
1iy7	CXA	7.366	6.19
1kzk	JE2	9.275	10.39
1lrh	NLA	4.584	6.82
1nc1	MTH	5.471	6.12
1nc3	FMC	6.742	5.00
1nli	ADE	3.713	3.59
1nw5	SAM	4.849	5.21
1ow4	2AN	5.088	5.68
1p1n	KAI	5.801	6.80
1p1o	QUS	4.654	5.76
1ps3	KIF	4.799	2.28
1pxp	CK8	6.478	6.66
1r5y	DQU	4.898	6.46
1s38	MAQ	4.627	5.15
1s39	AQO	4.116	7.70
1sr7	MOF	8.848	10.10
1sw1	PBE	5.162	7.30
1syh	CPW	5.623	6.41
1syi	CPW	5.623	5.48
1toj	HCI	4.010	3.39
1tok	MAE	3.610	2.47
1u1w	3HA	3.821	5.85
1ua4	AMP	4.281	4.22
1ui0	URA	4.413	7.06
1utm	PEA	2.553	3.01
1uwu	GOX	5.386	5.98
1uz1	IFL	5.476	6.89
1uz4	IFL	4.709	3.40
1v1j	FA3	3.865	4.82
1w2g	THM	3.331	4.57
1x8d	RNS	3.731	2.21
1xge	DOR	3.770	4.68
1y1m	AC5	3.899	1.82
1y1z	192	3.911	3.08
1y20	1AC	4.688	5.32
1yc1	4BC	6.890	6.17
1ydk	GTX	2.297	5.89
1z95	198	8.599	7.12
2aac	FCB	3.101	2.22
2afx	1BN	5.796	5.15
2ayr	L4G	7.932	9.29
2azr	982	3.758	3.64
2b07	598	6.046	6.43
2boh	IIA	8.871	8.52
2boj	ARW	5.976	5.77
2brb	PFQ	5.361	4.86
2bvd	ISX	5.900	6.00
2byr	MLK	8.195	8.55
2cji	GSK	7.945	8.22
2fai	459	6.671	6.24
2fdp	FRP	7.785	7.59
2ff1	IMH	8.552	8.21
2fpz	270	3.334	3.96
2fqt	H1D	6.606	6.14
2fqw	NOS	4.904	6.68
2fqx	GMP	5.002	7.15
2fqy	ADN	4.679	6.57
2fvd	LIA	7.259	8.52
2fw6	CIT	2.846	2.92
2fxu	BID	6.531	8.15
2h6b	3C4	4.972	5.39
2hb1	512	3.619	3.80
2hdq	C21	2.418	1.40
2hdr	4A3	2.551	1.72
2i0a	MUI	10.799	11.40
2i0d	MUT	10.079	12.10
2il2	LIX	8.203	7.10
2iwx	M1S	4.944	6.68
2j2u	GSQ	7.971	7.05
2j34	GS6	8.336	7.82
2j4i	GSJ	8.527	9.00
2j78	GOX	5.481	6.42
1bcj	NGA	3.988	3.70
1bky	1MC	3.397	3.84
1d4i	BEG	9.218	8.85
1d4j	MSC	8.277	8.36
1eby	BEB	8.415	9.70
1ebz	BEC	8.677	9.40
1ec0	BED	8.751	8.49
1ec1	BEE	8.582	8.92
1ec2	BEJ	8.390	10.00
1enu	APZ	5.136	5.08
1f74	NAY	3.966	3.05
1gi9	123	5.938	5.96
1gww	UDP	3.844	4.28
1gx0	UDP	3.844	4.28
1o5a	696	5.608	6.42
1o5r	FR9	7.883	8.12
1q4w	DQU	4.898	6.46
1qkt	EST	8.109	9.04
1qxl	FR8	8.204	7.96
1rdi	MFU	2.362	2.06
1rdn	NDG	3.381	1.84
1tr7	DEG	7.002	6.82
2a3c	PNX	4.118	4.37
2fv5	541	7.914	10.52
2h21	SAM	3.926	6.54
2hd6	BOS	8.450	7.80
1xl5	190	7.296	7.35
1y93	HAE	4.185	2.10
4ubp	HAE	3.070	5.59
1lhw	ESM	6.229	8.16
1s9t	QUS	6.248	6.60
1tt1	KAI	7.567	7.19
1uzv	FUC	5.831	5.18
2dm5	ODI	6.058	2.99
1xw6	GSH	3.473	5.62
2qrk	AMP	4.401	4.26
2nn1	M28	4.811	5.82
2pou	I7A	8.358	7.42
3cd0	6HI	7.398	7.57
3cda	8HI	7.934	7.58
