PDB_IDs	Ligand_Codes	Predictions	Labels
1gm8	SOX	4.7183	4.8000
1gpk	HUP	5.5587	5.3700
1hnn	SKF	7.1935	6.2400
1hp0	AD3	5.5676	6.7000
1hq2	PH2	4.0308	6.7700
1hvy	D16	6.1566	6.5400
1hwi	115	7.5087	7.5500
1hww	SWA	5.8446	7.7000
1ia1	TQ3	5.8556	7.4700
1j3j	CP6	5.1852	8.0100
1jd0	AZM	7.0562	8.2400
1jje	BYS	6.2960	8.4300
1ke5	LS1	5.1793	6.2500
1kzk	JE2	10.1190	10.4000
1l2s	STC	3.5049	4.5900
1l7f	BCZ	7.4806	9.1000
1lpz	CMB	7.8953	7.6000
1lrh	NLA	5.2070	3.8200
1m2z	DEX	8.0424	7.2200
1mmv	3AR	5.1327	7.2400
1n1m	A3M	5.9447	5.7000
1n2v	BDI	4.5613	4.0800
1n46	PFA	8.3793	10.5200
1nav	IH5	7.9607	7.6000
1of1	SCT	6.1554	4.8200
1of6	DTY	5.5696	6.0500
1opk	P16	7.4982	9.8200
1oq5	CEL	8.0622	7.6800
1owe	675	6.4134	6.2000
1oyt	FSN	7.3286	7.2400
1p2y	NCT	4.8330	5.0000
1p62	GEO	6.0089	4.6600
1pmn	984	6.9984	8.1500
1q1g	MTI	7.0074	8.5700
1q41	IXM	7.8620	7.6600
1q4g	BFL	6.6331	6.8900
1r1h	BIR	7.3343	8.9200
1r55	097	7.2136	6.8000
1r58	AO5	7.7861	6.9600
1r9o	FLP	6.0831	5.0200
1s19	MC9	7.9711	9.5100
1s3v	TQD	6.8449	7.4200
1sg0	STL	4.8470	7.4700
1sj0	E4D	7.7626	9.1000
1sq5	PAU	5.2866	4.3900
1sqn	NDR	8.3021	9.4000
1t40	ID5	5.9404	7.9600
1t46	STI	7.9298	6.4300
1t9b	1CS	5.5677	6.9000
1tow	CRZ	5.2280	6.2400
1tt1	KAI	7.2425	7.1900
1u1c	BAU	5.4073	5.3700
1uml	FR4	8.5856	7.5200
1unl	RRC	6.7034	6.7000
1uou	CMU	6.2937	7.7000
1v0p	PVB	6.8362	6.8900
1v48	HA1	6.6537	7.8000
1v4s	MRK	8.0037	6.4400
1vcj	IBA	5.7635	4.5900
1w1p	GIO	2.8873	2.3000
1w2g	THM	3.7572	4.5700
1xm6	5RM	7.0007	6.3800
1xoq	ROF	8.2339	9.1700
1xoz	CIA	8.1668	8.9200
1y6b	AAX	7.5080	7.4200
1ygc	905	7.7046	9.4600
1yqy	915	5.8390	7.6200
1ywr	LI9	7.7795	7.8900
1z95	198	7.5974	7.1200
2bm2	PM2	7.6416	7.8200
2br1	PFP	6.0954	5.1400
2bsm	BSM	7.4901	5.8200
