PDB_IDs	Ligand_Codes	Predictions	Labels
2are	MAN	3.1818	3.2800
2oag	DLI	8.4204	8.4700
2jbj	G88	9.5585	9.7000
2pwd	NOJ	5.3103	4.4000
2pwg	CTS	5.4606	4.8200
2oym	MNI	6.0083	5.0000
2hzy	DHJ	4.6523	7.3900
2ihj	CSF	3.9778	4.5900
2ojg	19A	7.4688	5.6400
2hzl	PYR	3.8980	6.5700
2ovv	PFH	8.0857	7.9200
2nta	521	5.9696	4.8000
2qu6	857	7.7085	8.5200
2pog	WST	8.6991	9.5400
2o4j	VD4	9.0324	10.1000
3b92	440	6.6331	8.0000
2p98	YE7	6.3466	6.1900
2z4b	DC8	8.9853	9.3600
2jj3	JJ3	9.4070	9.5500
2h15	B19	7.8585	5.6700
2pov	I7B	8.6705	7.1200
2pow	I7C	8.3199	7.2000
2nmx	M25	5.4973	5.5700
1vso	AT1	8.0305	4.7200
2p95	ME5	8.2002	9.3700
2p16	GG2	9.4948	10.1000
2flr	7NH	5.5782	6.1000
2pgz	COC	6.5576	5.7400
2bys	LOB	7.5571	9.5200
2gkl	PD2	5.1203	5.3500
2nsl	C2R	4.5779	4.6800
2nsj	C2R	4.5779	4.7900
2c92	TP6	6.3463	5.6800
2c94	TSF	6.4084	6.8200
2nnq	T4B	7.2101	8.7000
2psv	MUV	8.5282	7.2400
2cem	2AH	9.2389	7.9200
2cen	4AH	9.2157	8.3000
2q54	MU1	8.8452	9.0100
2b3f	GAL	5.6549	6.0300
2bbf	344	6.0455	5.1000
2e2r	2OH	6.4085	8.2600
2gz2	A2P	3.1369	5.2200
2hr6	DUD	4.8117	4.9200
2idz	ZID	6.0066	9.4000
2ihk	CSF	3.9778	4.1600
2jff	LK2	3.6686	3.6200
2oiq	STI	6.7531	4.9400
2otz	1MR	2.6142	3.6300
2ou0	MR3	3.6675	3.2300
2pjo	NMU	4.2987	0.0500
2pzv	IPH	4.5406	3.8700
2q88	4CS	4.3809	5.8000
2q89	6CS	5.0095	6.3000
2qeh	SRO	6.5634	8.6200
2qvu	FDP	5.8216	6.4400
2r3d	ACM	4.3265	-0.1500
2r5p	MK1	8.3189	8.4800
2rde	C2E	7.0788	7.0100
2v8q	AMP	4.7462	4.6100
3b50	SLB	6.2829	7.5500
3bgq	VX2	7.2060	7.9600
3bgz	VX3	5.1034	6.2600
2v8y	MGV	7.6148	5.7100
2jgb	MGT	6.4953	5.6100
1gja	135	6.3286	5.4200
1swk	BTN	10.5190	12.0000
1toi	HCI	4.4295	4.0500
1iup	ALQ	3.8769	2.5400
1tog	HCI	4.4295	3.2200
1uto	PEA	3.2464	2.2700
1ukb	BEZ	4.3875	3.1900
2cjp	VPR	5.3149	3.1000
1vot	HUP	5.6786	6.6000
2fx6	270	3.6380	3.7000
2c1q	BTN	11.7558	13.0000
2e2p	ADP	3.1846	4.7400
2epn	NGT	7.0706	7.2200
2i2c	DTA	3.2046	4.7000
2j4k	U5P	5.1351	4.8500
2jdu	MFU	6.0041	6.7200
2jdy	MMA	5.5484	4.3700
2jke	NOJ	4.6651	4.2300
2p3t	993	8.8607	11.3000
2p4y	C03	6.8311	9.0000
2p7g	2OH	6.4085	6.5300
2pqc	RC1	6.1879	5.7400
2q6m	P34	6.0215	6.2900
2q8z	NUP	6.6188	5.6800
2qbq	4B3	5.7586	7.4400
2qbr	910	5.3079	6.3300
2qdt	I38	4.8917	5.1900
2qhy	MZ1	8.8579	7.4800
2qhz	MZ2	8.8868	7.2800
2qi1	MZ4	8.1735	7.3000
2qi3	MZ5	9.8381	10.2000
2qi4	MZ6	9.4835	10.4400
2qi5	MZ7	8.9266	10.8500
2qi6	MZ8	8.8913	10.5700
2qmg	SC6	7.7740	9.1500
2qnq	QN3	6.4820	6.1100
2qrl	OGA	4.9120	4.0000
2qry	TPS	6.4026	8.6400
2r6w	LLB	8.6085	9.3600
2r75	01G	5.8239	6.1500
2reg	CHT	4.4872	5.5700
2rkd	3PP	2.6210	2.7200
