PDB_IDs	Ligand_Codes	Predictions	Labels
4fud	6UP	5.130	6.35
4fue	7UP	5.516	7.23
4fu7	1UP	5.317	6.20
4fu8	2UP	4.672	5.23
4fu9	675	6.011	6.20
4fub	4UP	5.994	6.21
4fuc	239	6.144	7.40
4fsm	HK1	6.796	7.62
4fsw	HK6	5.324	4.76
4ft5	H2K	6.732	7.56
4fsn	A58	7.650	7.70
4fsz	HK8	5.565	6.97
4ft7	H3K	7.098	8.87
4ft0	HK9	6.649	7.11
4ft9	H4K	7.367	7.69
4fta	H5K	6.118	7.39
4ftc	H6K	7.364	7.63
4fsq	HK3	6.367	8.80
4fsr	HKC	6.900	7.94
4fst	HK4	7.602	8.28
4fw3	L52	8.769	7.23
4fw4	3P3	10.547	8.08
4fw5	L58	10.809	7.48
4fw6	L59	10.394	7.70
4fw7	L63	9.723	7.13
4fux	E75	7.585	6.00
4fuy	EK2	7.018	6.09
4fv0	EK3	7.452	5.59
4fv1	EK4	7.051	7.08
4fv2	EK5	7.070	7.68
4fv3	EK6	8.028	7.74
4ev4	MER	7.370	7.40
4fv5	EK9	7.819	7.70
4fv7	E94	7.530	7.57
4fv8	E63	8.181	7.82
4fv9	E71	7.739	6.72
4fx3	60K	5.875	8.07
4ek4	1CK	5.649	4.48
4ek5	03K	6.602	6.09
4fkg	4CK	6.685	4.67
4fki	09K	6.560	4.23
4ek6	10K	6.869	6.04
4fjk	DTP	3.853	6.55
4ek8	16K	7.136	7.11
3sw4	18K	7.033	6.02
3sw7	19K	7.171	6.64
4fko	20K	6.966	6.11
4fkp	LS5	6.157	6.54
4fkq	42K	6.326	6.28
4fkr	45K	6.539	6.64
4fks	46K	6.913	6.28
4fkt	48K	6.154	5.97
4fku	60K	5.875	7.01
4fkv	61K	6.917	6.60
4fkw	62K	6.857	7.33
