PDB_IDs	Ligand_Codes	Predictions	Labels
2are	MAN	3.378	3.28
2oag	DLI	7.570	8.47
2jbj	G88	9.267	9.70
2pwd	NOJ	5.091	4.40
2pwg	CTS	4.699	4.82
2oym	MNI	5.008	5.00
2hzy	DHJ	3.388	7.39
2ihj	CSF	4.249	4.59
2ojg	19A	6.317	5.64
2hzl	PYR	4.734	6.57
2ovv	PFH	7.582	7.92
2nta	521	4.314	4.80
2qu6	857	8.324	8.52
2pog	WST	7.534	9.54
2o4j	VD4	7.989	10.10
3b92	440	7.496	8.00
2p98	YE7	6.696	6.19
2z4b	DC8	8.057	9.36
2jj3	JJ3	8.295	9.55
2h15	B19	7.737	5.67
2pov	I7B	7.894	7.12
2pow	I7C	8.033	7.20
2nmx	M25	4.957	5.57
1vso	AT1	6.563	4.72
2p95	ME5	8.936	9.37
2p16	GG2	8.273	10.10
2flr	7NH	4.745	6.10
2pgz	COC	6.693	5.74
2bys	LOB	7.675	9.52
2gkl	PD2	4.581	5.35
2nsl	C2R	4.244	4.68
2nsj	C2R	4.244	4.79
2c92	TP6	6.511	5.68
2c94	TSF	6.546	6.82
2nnq	T4B	6.520	8.70
2psv	MUV	7.645	7.24
2cem	2AH	8.960	7.92
2cen	4AH	9.121	8.30
2q54	MU1	7.055	9.01
2b3f	GAL	5.063	6.03
2bbf	344	5.924	5.10
2e2r	2OH	6.139	8.26
2gz2	A2P	3.939	5.22
2hr6	DUD	4.383	4.92
2idz	ZID	5.878	9.40
2ihk	CSF	4.249	4.16
2jff	LK2	3.655	3.62
2oiq	STI	6.765	4.94
2otz	1MR	4.093	3.63
2ou0	MR3	3.306	3.23
2pjo	NMU	3.335	0.05
2pzv	IPH	4.488	3.87
2q88	4CS	4.637	5.80
2q89	6CS	5.029	6.30
2qeh	SRO	4.906	8.62
2qvu	FDP	5.981	6.44
2r3d	ACM	3.389	-0.15
2r5p	MK1	8.775	8.48
2rde	C2E	7.343	7.01
2v8q	AMP	5.274	4.61
3b50	SLB	6.430	7.55
3bgq	VX2	7.580	7.96
3bgz	VX3	6.695	6.26
2v8y	MGV	6.583	5.71
2jgb	MGT	3.950	5.61
1gja	135	5.702	5.42
1swk	BTN	9.642	12.00
1toi	HCI	2.700	4.05
1iup	ALQ	4.468	2.54
1tog	HCI	2.700	3.22
1uto	PEA	2.904	2.27
1ukb	BEZ	4.038	3.19
2cjp	VPR	4.135	3.10
1vot	HUP	6.422	6.60
2fx6	270	3.005	3.70
2c1q	BTN	9.810	13.00
2e2p	ADP	3.175	4.74
2epn	NGT	6.912	7.22
2i2c	DTA	4.347	4.70
2j4k	U5P	3.538	4.85
2jdu	MFU	4.157	6.72
2jdy	MMA	4.222	4.37
2jke	NOJ	3.400	4.23
2p3t	993	8.056	11.30
2p4y	C03	7.002	9.00
2p7g	2OH	6.139	6.53
2pqc	RC1	6.551	5.74
2q6m	P34	5.047	6.29
2q8z	NUP	7.016	5.68
2qbq	4B3	5.565	7.44
2qbr	910	6.169	6.33
2qdt	I38	4.377	5.19
2qhy	MZ1	8.858	7.48
2qhz	MZ2	9.272	7.28
2qi1	MZ4	8.692	7.30
2qi3	MZ5	9.588	10.20
2qi4	MZ6	9.805	10.44
2qi5	MZ7	9.183	10.85
2qi6	MZ8	9.026	10.57
2qmg	SC6	7.766	9.15
2qnq	QN3	5.747	6.11
2qrl	OGA	2.899	4.00
2qry	TPS	4.662	8.64
2r6w	LLB	7.957	9.36
2r75	01G	6.440	6.15
2reg	CHT	3.995	5.57
2rkd	3PP	3.515	2.72
2uwl	895	8.036	8.40
2uwp	894	8.546	6.81
2uy4	AZM	5.534	4.68
2v2c	PGA	3.513	3.41
2v77	PAY	6.341	5.06
2v7t	SAH	4.704	7.48
2v7u	SAM	4.457	5.90
2v7v	5FD	4.676	6.66
2vhw	NAI	4.448	5.09
2vkm	BSD	7.293	8.74
2vmd	MBG	3.125	3.02
2vpn	4CS	5.423	6.72
2vuk	P83	3.539	3.82
2vw5	BC6	6.578	8.52
2w26	RIV	7.863	9.40
2zmm	35B	5.240	7.60
2zn7	410	5.172	7.89
3b3c	PLU	5.324	3.98
3b7r	BIR	8.129	7.70
3bex	PAU	2.254	5.57
3bl0	BL0	6.724	6.92
3brn	SRO	4.441	8.70
3bu1	HSM	3.960	8.15
3bxe	13P	4.649	5.48
3c2f	PRP	4.257	2.00
3c2o	NTM	3.656	3.35
3c2r	PHT	3.100	3.11
3c7i	TVN	6.601	5.64
3ccw	4HI	7.984	7.87
3ccz	5HI	7.849	7.29
3cd7	882	7.774	7.84
3czv	AZM	7.602	7.80
3d2r	ADP	4.843	5.48
3d51	GOX	2.855	4.15
3d83	GK6	7.587	8.36
3ddg	GB7	4.174	6.00
3dp4	AMQ	5.145	7.37
3e92	G6A	7.816	8.00
3eko	PYU	4.697	6.70
3ekr	PY9	6.342	5.55
3ene	NPZ	6.604	6.24
3eqr	T74	8.082	8.70
3f8c	HT1	6.335	7.68
3fat	AMQ	5.565	7.64
