PDB_IDs	Ligand_Codes	Predictions	Labels
1bcu	PRL	3.200	3.28
1bzc	TPI	6.415	4.92
1c5z	BEN	3.757	4.01
1e66	HUX	7.417	9.89
1eby	BEB	8.056	9.70
1g2k	NM1	8.071	7.96
1gpk	HUP	5.928	5.37
1gpn	HUB	6.308	6.48
1h22	E10	7.318	9.10
1h23	E12	7.516	8.35
1k1i	FD1	7.277	6.58
1lpg	IMA	7.547	7.09
1mq6	XLD	7.875	11.15
1nc1	MTH	7.071	6.12
1nc3	FMC	6.461	5.00
1nvq	UCN	7.855	8.25
1o0h	ADP	4.598	5.92
1o3f	696	7.289	7.96
1o5b	ESI	4.555	5.77
1owh	239	6.341	7.40
1oyt	FSN	7.876	7.24
1p1n	KAI	5.937	6.80
1p1q	AMQ	5.513	4.89
1ps3	KIF	4.501	2.28
1pxn	CK6	6.966	7.15
1qf1	TI1	5.888	7.32
1qkt	EST	7.604	9.04
1r5y	DQU	5.386	6.46
1s38	MAQ	5.308	5.15
1sqa	UI1	7.672	9.21
1syi	CPW	5.443	5.44
1u1b	PAX	5.419	7.80
1uto	PEA	3.019	2.27
1vso	AT1	6.929	4.72
1w4o	UA3	4.380	5.22
1y6r	MTM	8.499	10.11
1yc1	4BC	6.535	6.17
1z6e	IK8	8.765	9.72
1z95	198	8.873	7.12
1z9g	RRT	4.617	5.64
2al5	FWD	5.996	8.40
2br1	PFP	7.088	5.14
2brb	PFQ	6.502	4.86
2cbv	CGB	4.980	5.48
2cet	PGI	6.968	8.02
2fvd	LIA	6.876	8.52
2fxs	RDA	6.923	6.06
2hb1	512	4.043	3.80
2iwx	M1S	5.636	6.68
2j78	GOX	5.781	6.42
2j7h	AZF	6.508	7.19
2p15	EZT	7.992	10.30
2p4y	C03	7.590	9.00
2pog	WST	7.036	9.54
2qbp	527	6.523	8.40
2qbq	4B3	5.902	7.44
2qbr	910	5.886	6.33
2qe4	JJ3	6.797	7.96
2qnq	QN3	6.094	6.11
2r9w	23C	4.905	5.10
2v00	V15	3.484	3.66
2v7a	627	7.590	8.30
2vkm	BSD	7.535	8.74
2vvn	NHT	7.141	7.30
2vw5	BC6	6.227	8.52
2w4x	STZ	5.230	4.85
2w66	HQ6	6.671	4.05
2wbg	LGS	6.081	4.45
2wca	NP6	7.094	5.60
2weg	FBV	5.353	6.50
2wer	RDC	6.724	7.05
2wn9	ZY5	7.063	8.52
2wnc	TKT	7.047	6.32
2wtv	ZZL	7.771	8.74
2wvt	FHN	5.936	6.12
2x00	GYN	7.676	11.33
2xb8	XNW	5.797	7.59
2xbv	XBV	8.701	8.43
2xdl	2DL	4.037	3.10
2xii	TA9	7.225	7.20
2xj7	GC2	6.053	6.66
2xnb	Y8L	7.132	6.83
2xys	SY9	7.349	7.42
2y5h	Y5H	7.985	5.79
2yfe	YFE	6.375	6.63
2yge	GDM	5.745	5.06
2yki	YKI	6.774	9.46
2ymd	SRO	5.105	3.16
2zb1	GK4	6.667	6.32
2zcq	B65	5.761	8.82
2zcr	B69	6.594	6.87
2zda	32U	8.272	8.40
2zy1	830	6.352	7.40
3acw	651	6.619	4.76
3ag9	A02	6.754	8.05
3ao4	833	2.413	2.07
3arp	DEQ	4.426	7.15
3arq	DM5	5.304	6.40
3aru	PNX	4.375	3.22
3arv	SAU	4.413	5.64
3ary	I5I	4.136	6.00
3b1m	KRC	7.195	8.48
3b27	B2T	6.004	5.16
3b5r	B5R	8.882	8.77
3b65	3B6	8.089	9.27
3b68	B68	8.768	8.40
3bgz	VX3	5.812	6.26
3coy	53H	6.729	6.02
3coz	54H	6.548	5.57
3d4z	GIM	5.432	4.89
3d6q	U3S	3.577	3.76
3dd0	EZL	8.529	9.00
3dx1	YHO	4.332	3.58
3dx2	MZB	4.962	6.82
3dxg	U5P	3.325	2.40
3e5a	VX6	7.187	8.23
3e92	G6A	7.722	8.00
3e93	19B	7.674	8.85
3ebp	CPB	4.836	5.91
3ehy	TBL	7.157	5.85
3ejr	HN4	6.856	8.57
3f3c	PFF	3.469	6.02
3fcq	M3S	3.688	2.77
