PDB_IDs	Ligand_Codes	Predictions	Labels
2are	MAN	3.509	3.28
2oag	DLI	7.958	8.47
2jbj	G88	8.948	9.70
2pwd	NOJ	5.766	4.40
2pwg	CTS	6.249	4.82
2oym	MNI	4.644	5.00
2hzy	DHJ	3.305	7.39
2ihj	CSF	4.151	4.59
2ojg	19A	6.761	5.64
2hzl	PYR	5.018	6.57
2ovv	PFH	7.930	7.92
2nta	521	4.313	4.80
2qu6	857	7.494	8.52
2pog	WST	7.036	9.54
2o4j	VD4	7.922	10.10
3b92	440	6.691	8.00
2p98	YE7	6.285	6.19
2z4b	DC8	8.009	9.36
2jj3	JJ3	7.732	9.55
2h15	B19	7.823	5.67
2pov	I7B	7.346	7.12
2pow	I7C	7.564	7.20
2nmx	M25	5.875	5.57
1vso	AT1	6.929	4.72
2p95	ME5	8.814	9.37
2p16	GG2	8.182	10.10
2flr	7NH	7.040	6.10
2pgz	COC	7.151	5.74
2bys	LOB	7.572	9.52
2gkl	PD2	4.638	5.35
2nsl	C2R	3.536	4.68
2nsj	C2R	3.536	4.79
2c92	TP6	6.017	5.68
2c94	TSF	6.103	6.82
2nnq	T4B	6.551	8.70
2psv	MUV	9.040	7.24
2cem	2AH	9.102	7.92
2cen	4AH	9.075	8.30
2q54	MU1	7.814	9.01
2b3f	GAL	3.772	6.03
2bbf	344	5.946	5.10
2e2r	2OH	6.908	8.26
2gz2	A2P	3.791	5.22
2hr6	DUD	4.163	4.92
2idz	ZID	5.991	9.40
2ihk	CSF	4.151	4.16
2jff	LK2	3.338	3.62
2oiq	STI	6.259	4.94
2otz	1MR	4.072	3.63
2ou0	MR3	3.210	3.23
2pjo	NMU	3.433	0.05
2pzv	IPH	5.071	3.87
2q88	4CS	4.234	5.80
2q89	6CS	4.688	6.30
2qeh	SRO	6.807	8.62
2qvu	FDP	4.375	6.44
2r3d	ACM	3.398	-0.15
2r5p	MK1	9.052	8.48
2rde	C2E	7.678	7.01
2v8q	AMP	5.725	4.61
3b50	SLB	5.467	7.55
3bgq	VX2	6.494	7.96
3bgz	VX3	5.812	6.26
2v8y	MGV	5.595	5.71
2jgb	MGT	4.643	5.61
1gja	135	4.844	5.42
1swk	BTN	10.241	12.00
1toi	HCI	3.948	4.05
1iup	ALQ	3.826	2.54
1tog	HCI	3.948	3.22
1uto	PEA	3.019	2.27
1ukb	BEZ	3.533	3.19
2cjp	VPR	3.709	3.10
1vot	HUP	5.928	6.60
2fx6	270	3.215	3.70
2c1q	BTN	9.416	13.00
2e2p	ADP	3.755	4.74
2epn	NGT	6.508	7.22
2i2c	DTA	4.289	4.70
2j4k	U5P	3.999	4.85
2jdu	MFU	6.193	6.72
2jdy	MMA	5.761	4.37
2jke	NOJ	4.169	4.23
2p3t	993	8.134	11.30
2p4y	C03	7.590	9.00
2p7g	2OH	6.908	6.53
2pqc	RC1	6.549	5.74
2q6m	P34	4.864	6.29
2q8z	NUP	6.863	5.68
2qbq	4B3	5.902	7.44
2qbr	910	5.886	6.33
2qdt	I38	4.271	5.19
2qhy	MZ1	7.972	7.48
2qhz	MZ2	9.343	7.28
2qi1	MZ4	8.439	7.30
2qi3	MZ5	9.192	10.20
2qi4	MZ6	9.384	10.44
2qi5	MZ7	8.919	10.85
2qi6	MZ8	8.519	10.57
2qmg	SC6	8.236	9.15
2qnq	QN3	6.094	6.11
2qrl	OGA	3.587	4.00
2qry	TPS	4.403	8.64
2r6w	LLB	7.273	9.36
2r75	01G	5.741	6.15
2reg	CHT	3.958	5.57
2rkd	3PP	3.718	2.72
2uwl	895	7.471	8.40
2uwp	894	8.000	6.81
2uy4	AZM	4.963	4.68
2v2c	PGA	3.525	3.41
2v77	PAY	7.635	5.06
2v7t	SAH	4.801	7.48
2v7u	SAM	4.637	5.90
2v7v	5FD	4.243	6.66
2vhw	NAI	4.886	5.09
2vkm	BSD	7.535	8.74
2vmd	MBG	2.994	3.02
2vpn	4CS	5.258	6.72
2vuk	P83	3.821	3.82
2vw5	BC6	6.227	8.52
2w26	RIV	6.781	9.40
2zmm	35B	5.637	7.60
2zn7	410	5.708	7.89
3b3c	PLU	5.274	3.98
3b7r	BIR	8.068	7.70
3bex	PAU	4.342	5.57
3bl0	BL0	5.561	6.92
3brn	SRO	4.991	8.70
3bu1	HSM	4.571	8.15
3bxe	13P	4.968	5.48
3c2f	PRP	4.223	2.00
3c2o	NTM	3.978	3.35
3c2r	PHT	3.556	3.11
3c7i	TVN	6.207	5.64
3ccw	4HI	7.865	7.87
3ccz	5HI	7.829	7.29
3cd7	882	7.955	7.84
3czv	AZM	7.527	7.80
3d2r	ADP	4.261	5.48
3d51	GOX	3.546	4.15
3d83	GK6	7.565	8.36
3ddg	GB7	5.240	6.00
3dp4	AMQ	5.328	7.37
3e92	G6A	7.722	8.00
3eko	PYU	4.542	6.70
3ekr	PY9	6.770	5.55
3ene	NPZ	6.099	6.24
3eqr	T74	7.437	8.70
3f8c	HT1	5.922	7.68
3fat	AMQ	5.238	7.64
