PDB_IDs	Ligand_Codes	Predictions	Labels
4fud	6UP	5.125	6.35
4fue	7UP	7.493	7.23
4fu7	1UP	5.378	6.20
4fu8	2UP	4.800	5.23
4fu9	675	7.367	6.20
4fub	4UP	6.283	6.21
4fuc	239	6.843	7.40
4fsm	HK1	7.499	7.62
4fsw	HK6	5.925	4.76
4ft5	H2K	8.256	7.56
4fsn	A58	7.453	7.70
4fsz	HK8	5.507	6.97
4ft7	H3K	8.587	8.87
4ft0	HK9	7.211	7.11
4ft9	H4K	7.238	7.69
4fta	H5K	7.196	7.39
4ftc	H6K	7.569	7.63
4fsq	HK3	7.095	8.80
4fsr	HKC	6.580	7.94
4fst	HK4	8.370	8.28
4fw3	L52	8.087	7.23
4fw4	3P3	8.582	8.08
4fw5	L58	8.868	7.48
4fw6	L59	8.171	7.70
4fw7	L63	6.953	7.13
4fux	E75	7.561	6.00
4fuy	EK2	7.634	6.09
4fv0	EK3	7.084	5.59
4fv1	EK4	7.448	7.08
4fv2	EK5	7.724	7.68
4fv3	EK6	8.202	7.74
4ev4	MER	7.010	7.40
4fv5	EK9	8.095	7.70
4fv7	E94	8.377	7.57
4fv8	E63	8.344	7.82
4fv9	E71	7.981	6.72
4fx3	60K	5.958	8.07
4ek4	1CK	5.917	4.48
4ek5	03K	6.721	6.09
4fkg	4CK	6.775	4.67
4fki	09K	6.726	4.23
4ek6	10K	7.174	6.04
4fjk	DTP	4.028	6.55
4ek8	16K	7.163	7.11
3sw4	18K	7.322	6.02
3sw7	19K	7.258	6.64
4fko	20K	7.156	6.11
4fkp	LS5	6.234	6.54
4fkq	42K	7.355	6.28
4fkr	45K	7.436	6.64
4fks	46K	7.215	6.28
4fkt	48K	6.386	5.97
4fku	60K	5.958	7.01
4fkv	61K	7.167	6.60
4fkw	62K	6.513	7.33
