PDB_IDs	Ligand_Codes	Predictions	Labels
1gm8	SOX	4.338	4.80
1gpk	HUP	6.290	5.37
1hnn	SKF	6.963	6.24
1hp0	AD3	4.833	6.70
1hq2	PH2	4.578	6.77
1hvy	D16	7.277	6.17
1hwi	115	7.875	7.55
1hww	SWA	4.775	7.70
1ia1	TQ3	5.481	7.47
1j3j	CP6	4.279	8.01
1jd0	AZM	6.459	8.24
1jje	BYS	5.470	8.43
1ke5	LS1	6.258	6.25
1kzk	JE2	8.658	10.40
1l2s	STC	3.927	4.59
1l7f	BCZ	6.266	9.10
1lpz	CMB	8.263	7.60
1lrh	NLA	4.537	6.82
1m2z	DEX	7.339	7.22
1mmv	3AR	5.297	7.24
1n1m	A3M	5.732	5.70
1n2v	BDI	3.953	4.08
1n46	PFA	9.189	10.52
1nav	IH5	7.149	7.60
1of1	SCT	5.024	4.82
1of6	DTY	4.231	6.05
1opk	P16	7.516	9.82
1oq5	CEL	7.908	7.68
1owe	675	7.367	6.20
1oyt	FSN	7.887	7.24
1p2y	NCT	5.430	5.00
1p62	GEO	5.334	4.66
1pmn	984	7.565	8.15
1q1g	MTI	9.062	8.57
1q41	IXM	7.203	7.66
1q4g	BFL	5.276	6.89
1r1h	BIR	8.797	8.92
1r55	097	6.796	6.80
1r58	AO5	6.652	6.96
1r9o	FLP	4.630	5.02
1s19	MC9	7.543	9.51
1s3v	TQD	8.191	7.42
1sg0	STL	4.880	7.47
1sj0	E4D	8.242	9.10
1sq5	PAU	4.112	4.39
1sqn	NDR	8.198	9.40
1t40	ID5	6.053	7.96
1t46	STI	6.764	6.38
1t9b	1CS	4.368	6.90
1tow	CRZ	6.121	6.24
1tt1	KAI	7.682	7.19
1u1c	BAU	5.227	5.37
1uml	FR4	7.864	7.52
1unl	RRC	6.579	6.70
1uou	CMU	4.530	7.70
1v0p	PVB	6.579	6.89
1v48	HA1	5.711	8.16
1v4s	MRK	6.978	6.44
1vcj	IBA	3.812	4.59
1w1p	GIO	2.514	2.30
1w2g	THM	3.828	4.57
1xm6	5RM	5.945	6.38
1xoq	ROF	8.940	9.17
1xoz	CIA	8.337	8.92
1y6b	AAX	7.187	7.42
1ygc	905	8.087	9.46
1yqy	915	5.778	7.62
1ywr	LI9	7.842	7.49
1z95	198	8.857	7.12
2bm2	PM2	7.251	7.82
2br1	PFP	7.052	5.14
2bsm	BSM	7.530	5.82
