PDB_IDs	Ligand_Codes	Predictions	Labels
1gm8	SOX	5.2649	4.8000
1gpk	HUP	6.7762	5.3700
1hnn	SKF	7.1044	6.2400
1hp0	AD3	4.5109	6.7000
1hq2	PH2	4.8091	6.7700
1hvy	D16	7.3231	6.5400
1hwi	115	7.7969	7.5500
1hww	SWA	5.6005	7.7000
1ia1	TQ3	6.4433	7.4700
1j3j	CP6	4.9839	8.0100
1jd0	AZM	6.8444	8.2400
1jje	BYS	5.9634	8.4300
1ke5	LS1	5.4979	6.2500
1kzk	JE2	8.7503	10.4000
1l2s	STC	4.8112	4.5900
1l7f	BCZ	7.0431	9.1000
1lpz	CMB	7.8284	7.6000
1lrh	NLA	4.9952	3.8200
1m2z	DEX	7.4868	7.2200
1mmv	3AR	5.0668	7.2400
1n1m	A3M	7.2091	5.7000
1n2v	BDI	4.4597	4.0800
1n46	PFA	8.5602	10.5200
1nav	IH5	6.6287	7.6000
1of1	SCT	6.9579	4.8200
1of6	DTY	5.8806	6.0500
1opk	P16	7.3201	9.8200
1oq5	CEL	7.7094	7.6800
1owe	675	6.8596	6.2000
1oyt	FSN	6.6965	7.2400
1p2y	NCT	5.0652	5.0000
1p62	GEO	6.5042	4.6600
1pmn	984	7.5076	8.1500
1q1g	MTI	8.3555	8.5700
1q41	IXM	8.5966	7.6600
1q4g	BFL	5.5295	6.8900
1r1h	BIR	8.6591	8.9200
1r55	097	6.9855	6.8000
1r58	AO5	7.8138	6.9600
1r9o	FLP	5.9829	5.0200
1s19	MC9	8.0476	9.5100
1s3v	TQD	7.7266	7.4200
1sg0	STL	4.7335	7.4700
1sj0	E4D	8.5286	9.1000
1sq5	PAU	6.7140	4.3900
1sqn	NDR	8.5637	9.4000
1t40	ID5	6.0800	7.9600
1t46	STI	7.4203	6.4300
1t9b	1CS	7.3176	6.9000
1tow	CRZ	5.5489	6.2400
1tt1	KAI	7.8954	7.1900
1u1c	BAU	5.3846	5.3700
1uml	FR4	7.8293	7.5200
1unl	RRC	6.1228	6.7000
1uou	CMU	6.0711	7.7000
1v0p	PVB	7.7446	6.8900
1v48	HA1	7.4222	7.8000
1v4s	MRK	7.1363	6.4400
1vcj	IBA	4.6704	4.5900
1w1p	GIO	3.2560	2.3000
1w2g	THM	3.6696	4.5700
1xm6	5RM	6.2690	6.3800
1xoq	ROF	9.4367	9.1700
1xoz	CIA	9.0195	8.9200
1y6b	AAX	8.2282	7.4200
1ygc	905	7.4125	9.4600
1yqy	915	5.1062	7.6200
1ywr	LI9	8.8160	7.8900
1z95	198	8.2574	7.1200
2bm2	PM2	7.4153	7.8200
2br1	PFP	7.2890	5.1400
2bsm	BSM	7.7690	5.8200
