PDB_IDs	Ligand_Codes	Predictions	Labels
4fud	6UP	5.2734	6.3500
4fue	7UP	7.3545	7.2300
4fu7	1UP	6.3437	6.2000
4fu8	2UP	5.2221	5.2300
4fu9	675	6.8596	6.2000
4fub	4UP	6.4910	6.2100
4fuc	239	6.6032	7.4000
4fsm	HK1	6.9549	7.6200
4fsw	HK6	6.0125	4.7600
4ft5	H2K	8.3364	7.5600
4fsn	A58	7.6684	7.7000
4fsz	HK8	5.6115	6.9700
4ft7	H3K	8.2051	8.8700
4ft0	HK9	6.3601	7.1100
4ft9	H4K	7.8114	7.6900
4fta	H5K	7.6849	7.3900
4ftc	H6K	7.3824	7.6300
4fsq	HK3	6.4962	8.8000
4fsr	HKC	7.5320	7.9400
4fst	HK4	7.8639	8.2800
4fw3	L52	9.1204	7.2300
4fw4	3P3	9.3575	8.0800
4fw5	L58	8.4738	7.4800
4fw6	L59	8.6716	7.7000
4fw7	L63	8.3599	7.1300
4fux	E75	6.1676	6.0000
4fuy	EK2	6.9459	6.0900
4fv0	EK3	7.4043	5.5900
4fv1	EK4	7.6688	7.0800
4fv2	EK5	7.2131	7.6800
4fv3	EK6	6.8834	7.7400
4ev4	MER	6.6131	7.4000
4fv5	EK9	7.7990	7.7000
4fv7	E94	7.7291	7.5700
4fv8	E63	8.5566	7.8200
4fv9	E71	7.1195	6.7200
4fx3	60K	5.4509	8.0700
4ek4	1CK	5.7839	4.4800
4ek5	03K	6.5533	6.0900
4fkg	4CK	5.8608	4.6700
4fki	09K	7.6510	4.2300
4ek6	10K	6.7365	6.0400
4fjk	DTP	6.1001	6.5500
4ek8	16K	7.7031	7.1100
3sw4	18K	6.1634	6.0200
3sw7	19K	6.7520	6.6400
4fko	20K	6.8847	6.1100
4fkp	LS5	6.3456	6.5400
4fkq	42K	7.0326	6.2800
4fkr	45K	5.7733	6.6400
4fks	46K	7.0405	6.2800
4fkt	48K	6.6684	5.9700
4fku	60K	5.4509	7.0100
4fkv	61K	6.8905	6.6000
4fkw	62K	6.7283	7.3300
