PDB_IDs	Ligand_Codes	Predictions	Labels
2are	MAN	4.771	3.28
2oag	DLI	8.429	8.47
2jbj	G88	9.296	9.70
2pwd	NOJ	4.704	4.40
2pwg	CTS	4.680	4.82
2oym	MNI	6.491	5.00
2hzy	DHJ	4.183	7.39
2ihj	CSF	2.788	4.59
2ojg	19A	6.905	5.64
2hzl	PYR	5.232	6.57
2ovv	PFH	7.412	7.92
2nta	521	5.343	4.80
2qu6	857	7.431	8.52
2pog	WST	7.479	9.54
2o4j	VD4	9.174	10.10
3b92	440	6.977	8.00
2p98	YE7	6.198	6.19
2z4b	DC8	8.868	9.36
2jj3	JJ3	8.781	9.55
2h15	B19	8.347	5.67
2pov	I7B	8.430	7.12
2pow	I7C	8.192	7.20
2nmx	M25	6.646	5.57
1vso	AT1	6.963	4.72
2p95	ME5	7.972	9.37
2p16	GG2	8.372	10.10
2flr	7NH	5.942	6.10
2pgz	COC	6.381	5.74
2bys	LOB	7.044	9.52
2gkl	PD2	4.089	5.35
2nsl	C2R	4.083	4.68
2nsj	C2R	4.083	4.79
2c92	TP6	5.735	5.68
2c94	TSF	5.670	6.82
2nnq	T4B	6.111	8.70
2psv	MUV	7.926	7.24
2cem	2AH	8.658	7.92
2cen	4AH	8.810	8.30
2q54	MU1	7.284	9.01
2b3f	GAL	4.629	6.03
2bbf	344	5.475	5.10
2e2r	2OH	6.328	8.26
2gz2	A2P	3.068	5.22
2hr6	DUD	4.986	4.92
2idz	ZID	5.050	9.40
2ihk	CSF	2.788	4.16
2jff	LK2	3.282	3.62
2oiq	STI	5.148	4.94
2otz	1MR	4.206	3.63
2ou0	MR3	3.409	3.23
2pjo	NMU	3.355	0.05
2pzv	IPH	5.139	3.87
2q88	4CS	4.369	5.80
2q89	6CS	5.074	6.30
2qeh	SRO	7.519	8.62
2qvu	FDP	4.019	6.44
2r3d	ACM	3.282	-0.15
2r5p	MK1	9.044	8.48
2rde	C2E	6.501	7.01
2v8q	AMP	4.770	4.61
3b50	SLB	6.829	7.55
3bgq	VX2	8.213	7.96
3bgz	VX3	6.378	6.26
2v8y	MGV	6.616	5.71
2jgb	MGT	5.161	5.61
1gja	135	6.247	5.42
1swk	BTN	10.972	12.00
1toi	HCI	2.618	4.05
1iup	ALQ	3.866	2.54
1tog	HCI	2.618	3.22
1uto	PEA	2.481	2.27
1ukb	BEZ	3.200	3.19
2cjp	VPR	3.707	3.10
1vot	HUP	6.290	6.60
2fx6	270	2.898	3.70
2c1q	BTN	10.460	13.00
2e2p	ADP	3.673	4.74
2epn	NGT	6.782	7.22
2i2c	DTA	4.006	4.70
2j4k	U5P	3.854	4.85
2jdu	MFU	4.744	6.72
2jdy	MMA	5.158	4.37
2jke	NOJ	4.789	4.23
2p3t	993	8.909	11.30
2p4y	C03	7.438	9.00
2p7g	2OH	6.328	6.53
2pqc	RC1	7.333	5.74
2q6m	P34	5.346	6.29
2q8z	NUP	6.051	5.68
2qbq	4B3	5.288	7.44
2qbr	910	6.053	6.33
2qdt	I38	4.248	5.19
2qhy	MZ1	7.955	7.48
2qhz	MZ2	8.527	7.28
2qi1	MZ4	8.920	7.30
2qi3	MZ5	9.263	10.20
2qi4	MZ6	10.446	10.44
2qi5	MZ7	9.408	10.85
2qi6	MZ8	9.472	10.57
2qmg	SC6	8.322	9.15
2qnq	QN3	6.434	6.11
2qrl	OGA	2.712	4.00
2qry	TPS	5.106	8.64
2r6w	LLB	7.507	9.36
2r75	01G	6.088	6.15
2reg	CHT	4.244	5.57
2rkd	3PP	2.720	2.72
2uwl	895	7.003	8.40
2uwp	894	7.277	6.81
2uy4	AZM	5.649	4.68
2v2c	PGA	3.387	3.41
2v77	PAY	5.448	5.06
2v7t	SAH	4.788	7.48
2v7u	SAM	4.596	5.90
2v7v	5FD	4.213	6.66
2vhw	NAI	4.382	5.09
2vkm	BSD	7.792	8.74
2vmd	MBG	3.114	3.02
2vpn	4CS	4.859	6.72
2vuk	P83	3.629	3.82
2vw5	BC6	5.849	8.52
2w26	RIV	7.868	9.40
2zmm	35B	6.282	7.60
2zn7	410	6.335	7.89
3b3c	PLU	5.630	3.98
3b7r	BIR	7.486	7.70
3bex	PAU	3.142	5.57
3bl0	BL0	6.544	6.92
3brn	SRO	5.181	8.70
3bu1	HSM	3.952	8.15
3bxe	13P	4.867	5.48
3c2f	PRP	4.300	2.00
3c2o	NTM	3.513	3.35
3c2r	PHT	2.974	3.11
3c7i	TVN	4.973	5.64
3ccw	4HI	8.178	7.87
3ccz	5HI	8.380	7.29
3cd7	882	8.064	7.84
3czv	AZM	7.552	7.80
3d2r	ADP	4.002	5.48
3d51	GOX	3.766	4.15
3d83	GK6	7.887	8.36
3ddg	GB7	4.044	6.00
3dp4	AMQ	6.396	7.37
3e92	G6A	7.426	8.00
3eko	PYU	4.668	6.70
3ekr	PY9	7.688	5.55
3ene	NPZ	5.570	6.24
3eqr	T74	7.915	8.70
3f8c	HT1	7.172	7.68
3fat	AMQ	6.530	7.64
