PDB_IDs	Ligand_Codes	Predictions	Labels
4fud	6UP	4.482	6.35
4fue	7UP	6.097	7.23
4fu7	1UP	4.827	6.20
4fu8	2UP	4.258	5.23
4fu9	675	6.082	6.20
4fub	4UP	5.709	6.21
4fuc	239	6.362	7.40
4fsm	HK1	7.322	7.62
4fsw	HK6	5.343	4.76
4ft5	H2K	7.422	7.56
4fsn	A58	7.095	7.70
4fsz	HK8	5.565	6.97
4ft7	H3K	7.459	8.87
4ft0	HK9	6.567	7.11
4ft9	H4K	6.865	7.69
4fta	H5K	5.665	7.39
4ftc	H6K	7.414	7.63
4fsq	HK3	6.949	8.80
4fsr	HKC	7.287	7.94
4fst	HK4	7.407	8.28
4fw3	L52	9.049	7.23
4fw4	3P3	9.165	8.08
4fw5	L58	9.028	7.48
4fw6	L59	8.954	7.70
4fw7	L63	8.385	7.13
4fux	E75	7.354	6.00
4fuy	EK2	7.728	6.09
4fv0	EK3	7.197	5.59
4fv1	EK4	7.907	7.08
4fv2	EK5	7.825	7.68
4fv3	EK6	8.344	7.74
4ev4	MER	7.519	7.40
4fv5	EK9	7.433	7.70
4fv7	E94	8.310	7.57
4fv8	E63	7.266	7.82
4fv9	E71	7.730	6.72
4fx3	60K	5.892	8.07
4ek4	1CK	5.143	4.48
4ek5	03K	6.444	6.09
4fkg	4CK	6.303	4.67
4fki	09K	6.132	4.23
4ek6	10K	6.393	6.04
4fjk	DTP	3.566	6.55
4ek8	16K	6.549	7.11
3sw4	18K	6.140	6.02
3sw7	19K	6.905	6.64
4fko	20K	6.637	6.11
4fkp	LS5	5.043	6.54
4fkq	42K	6.630	6.28
4fkr	45K	6.721	6.64
4fks	46K	6.438	6.28
4fkt	48K	6.120	5.97
4fku	60K	5.892	7.01
4fkv	61K	6.930	6.60
4fkw	62K	6.580	7.33
