PDB_IDs	Ligand_Codes	Predictions	Labels
1gm8	SOX	4.281	4.80
1gpk	HUP	5.545	5.37
1hnn	SKF	6.222	6.24
1hp0	AD3	4.242	6.70
1hq2	PH2	4.934	6.77
1hvy	D16	7.156	6.17
1hwi	115	7.389	7.55
1hww	SWA	4.962	7.70
1ia1	TQ3	4.773	7.47
1j3j	CP6	3.960	8.01
1jd0	AZM	7.731	8.24
1jje	BYS	5.408	8.43
1ke5	LS1	5.892	6.25
1kzk	JE2	9.184	10.40
1l2s	STC	4.436	4.59
1l7f	BCZ	6.477	9.10
1lpz	CMB	8.061	7.60
1lrh	NLA	4.839	6.82
1m2z	DEX	7.837	7.22
1mmv	3AR	3.770	7.24
1n1m	A3M	5.874	5.70
1n2v	BDI	4.698	4.08
1n46	PFA	9.190	10.52
1nav	IH5	6.204	7.60
1of1	SCT	4.800	4.82
1of6	DTY	4.295	6.05
1opk	P16	7.343	9.82
1oq5	CEL	7.951	7.68
1owe	675	6.082	6.20
1oyt	FSN	7.811	7.24
1p2y	NCT	4.477	5.00
1p62	GEO	3.973	4.66
1pmn	984	7.426	8.15
1q1g	MTI	8.203	8.57
1q41	IXM	6.929	7.66
1q4g	BFL	5.896	6.89
1r1h	BIR	7.581	8.92
1r55	097	6.161	6.80
1r58	AO5	6.850	6.96
1r9o	FLP	4.767	5.02
1s19	MC9	6.732	9.51
1s3v	TQD	6.872	7.42
1sg0	STL	4.611	7.47
1sj0	E4D	8.031	9.10
1sq5	PAU	3.468	4.39
1sqn	NDR	8.379	9.40
1t40	ID5	5.983	7.96
1t46	STI	7.031	6.38
1t9b	1CS	4.532	6.90
1tow	CRZ	5.873	6.24
1tt1	KAI	7.606	7.19
1u1c	BAU	4.619	5.37
1uml	FR4	7.612	7.52
1unl	RRC	6.253	6.70
1uou	CMU	4.505	7.70
1v0p	PVB	7.310	6.89
1v48	HA1	5.987	8.16
1v4s	MRK	5.724	6.44
1vcj	IBA	3.691	4.59
1w1p	GIO	2.158	2.30
1w2g	THM	3.294	4.57
1xm6	5RM	6.883	6.38
1xoq	ROF	9.199	9.17
1xoz	CIA	8.425	8.92
1y6b	AAX	7.711	7.42
1ygc	905	7.418	9.46
1yqy	915	5.681	7.62
1ywr	LI9	7.414	7.49
1z95	198	8.238	7.12
2bm2	PM2	7.882	7.82
2br1	PFP	7.163	5.14
2bsm	BSM	7.215	5.82
