PDB_IDs	Ligand_Codes	Predictions	Labels
1bcu	PRL	3.295	3.28
1bzc	TPI	5.392	4.92
1c5z	BEN	3.715	4.01
1e66	HUX	6.640	9.89
1eby	BEB	7.363	9.70
1g2k	NM1	8.496	7.96
1gpk	HUP	5.545	5.37
1gpn	HUB	6.777	6.48
1h22	E10	7.869	9.10
1h23	E12	8.001	8.35
1k1i	FD1	6.149	6.58
1lpg	IMA	7.826	7.09
1mq6	XLD	8.138	11.15
1nc1	MTH	6.776	6.12
1nc3	FMC	7.297	5.00
1nvq	UCN	8.362	8.25
1o0h	ADP	4.595	5.92
1o3f	696	7.209	7.96
1o5b	ESI	4.915	5.77
1owh	239	6.362	7.40
1oyt	FSN	7.811	7.24
1p1n	KAI	6.168	6.80
1p1q	AMQ	5.541	4.89
1ps3	KIF	5.506	2.28
1pxn	CK6	6.249	7.15
1qf1	TI1	5.510	7.32
1qkt	EST	8.086	9.04
1r5y	DQU	4.440	6.46
1s38	MAQ	4.334	5.15
1sqa	UI1	7.273	9.21
1syi	CPW	5.650	5.44
1u1b	PAX	5.981	7.80
1uto	PEA	2.904	2.27
1vso	AT1	7.067	4.72
1w4o	UA3	4.687	5.22
1y6r	MTM	8.637	10.11
1yc1	4BC	7.023	6.17
1z6e	IK8	8.736	9.72
1z95	198	8.238	7.12
1z9g	RRT	4.054	5.64
2al5	FWD	5.616	8.40
2br1	PFP	7.163	5.14
2brb	PFQ	5.663	4.86
2cbv	CGB	4.352	5.48
2cet	PGI	7.152	8.02
2fvd	LIA	6.577	8.52
2fxs	RDA	6.778	6.06
2hb1	512	3.793	3.80
2iwx	M1S	5.990	6.68
2j78	GOX	5.696	6.42
2j7h	AZF	6.248	7.19
2p15	EZT	8.386	10.30
2p4y	C03	7.595	9.00
2pog	WST	6.163	9.54
2qbp	527	6.557	8.40
2qbq	4B3	6.264	7.44
2qbr	910	6.625	6.33
2qe4	JJ3	7.099	7.96
2qnq	QN3	5.960	6.11
2r9w	23C	5.465	5.10
2v00	V15	2.880	3.66
2v7a	627	7.596	8.30
2vkm	BSD	7.333	8.74
2vvn	NHT	7.784	7.30
2vw5	BC6	6.532	8.52
2w4x	STZ	4.759	4.85
2w66	HQ6	5.610	4.05
2wbg	LGS	5.516	4.45
2wca	NP6	7.171	5.60
2weg	FBV	5.642	6.50
2wer	RDC	5.870	7.05
2wn9	ZY5	6.605	8.52
2wnc	TKT	6.182	6.32
2wtv	ZZL	8.245	8.74
2wvt	FHN	6.995	6.12
2x00	GYN	8.403	11.33
2xb8	XNW	6.445	7.59
2xbv	XBV	8.495	8.43
2xdl	2DL	3.698	3.10
2xii	TA9	8.197	7.20
2xj7	GC2	4.813	6.66
2xnb	Y8L	6.576	6.83
