PDB_IDs	Ligand_Codes	Predictions	Labels
2are	MAN	3.622	3.28
2oag	DLI	8.003	8.47
2jbj	G88	9.004	9.70
2pwd	NOJ	4.957	4.40
2pwg	CTS	4.604	4.82
2oym	MNI	5.693	5.00
2hzy	DHJ	4.059	7.39
2ihj	CSF	3.518	4.59
2ojg	19A	7.305	5.64
2hzl	PYR	3.426	6.57
2ovv	PFH	7.250	7.92
2nta	521	3.621	4.80
2qu6	857	7.996	8.52
2pog	WST	6.163	9.54
2o4j	VD4	8.108	10.10
3b92	440	7.630	8.00
2p98	YE7	6.159	6.19
2z4b	DC8	9.252	9.36
2jj3	JJ3	8.781	9.55
2h15	B19	8.602	5.67
2pov	I7B	7.657	7.12
2pow	I7C	7.527	7.20
2nmx	M25	4.630	5.57
1vso	AT1	7.067	4.72
2p95	ME5	7.610	9.37
2p16	GG2	7.820	10.10
2flr	7NH	4.952	6.10
2pgz	COC	5.861	5.74
2bys	LOB	8.037	9.52
2gkl	PD2	4.176	5.35
2nsl	C2R	3.814	4.68
2nsj	C2R	3.814	4.79
2c92	TP6	5.789	5.68
2c94	TSF	5.859	6.82
2nnq	T4B	6.436	8.70
2psv	MUV	8.319	7.24
2cem	2AH	8.510	7.92
2cen	4AH	8.928	8.30
2q54	MU1	7.563	9.01
2b3f	GAL	4.320	6.03
2bbf	344	4.877	5.10
2e2r	2OH	6.332	8.26
2gz2	A2P	3.836	5.22
2hr6	DUD	4.325	4.92
2idz	ZID	4.426	9.40
2ihk	CSF	3.518	4.16
2jff	LK2	3.146	3.62
2oiq	STI	6.211	4.94
2otz	1MR	4.267	3.63
2ou0	MR3	3.172	3.23
2pjo	NMU	3.476	0.05
2pzv	IPH	5.165	3.87
2q88	4CS	4.348	5.80
2q89	6CS	5.153	6.30
2qeh	SRO	6.913	8.62
2qvu	FDP	5.352	6.44
2r3d	ACM	3.430	-0.15
2r5p	MK1	8.177	8.48
2rde	C2E	8.180	7.01
2v8q	AMP	4.849	4.61
3b50	SLB	5.240	7.55
3bgq	VX2	7.997	7.96
3bgz	VX3	5.059	6.26
2v8y	MGV	5.996	5.71
2jgb	MGT	4.771	5.61
1gja	135	5.317	5.42
1swk	BTN	12.013	12.00
1toi	HCI	2.379	4.05
1iup	ALQ	3.778	2.54
1tog	HCI	2.379	3.22
1uto	PEA	2.904	2.27
1ukb	BEZ	3.315	3.19
2cjp	VPR	4.288	3.10
1vot	HUP	5.545	6.60
2fx6	270	3.149	3.70
2c1q	BTN	11.514	13.00
2e2p	ADP	2.952	4.74
2epn	NGT	5.982	7.22
2i2c	DTA	5.057	4.70
2j4k	U5P	3.300	4.85
2jdu	MFU	5.671	6.72
2jdy	MMA	5.451	4.37
2jke	NOJ	4.149	4.23
2p3t	993	8.443	11.30
2p4y	C03	7.595	9.00
2p7g	2OH	6.332	6.53
2pqc	RC1	6.788	5.74
2q6m	P34	5.101	6.29
2q8z	NUP	5.830	5.68
2qbq	4B3	6.264	7.44
2qbr	910	6.625	6.33
2qdt	I38	3.977	5.19
2qhy	MZ1	7.003	7.48
2qhz	MZ2	8.425	7.28
2qi1	MZ4	7.482	7.30
2qi3	MZ5	8.148	10.20
2qi4	MZ6	9.357	10.44
2qi5	MZ7	8.488	10.85
2qi6	MZ8	8.985	10.57
2qmg	SC6	8.021	9.15
2qnq	QN3	5.960	6.11
2qrl	OGA	2.635	4.00
2qry	TPS	4.405	8.64
2r6w	LLB	8.163	9.36
2r75	01G	5.667	6.15
2reg	CHT	4.452	5.57
2rkd	3PP	4.203	2.72
2uwl	895	7.650	8.40
2uwp	894	7.808	6.81
2uy4	AZM	4.855	4.68
2v2c	PGA	3.670	3.41
2v77	PAY	7.072	5.06
2v7t	SAH	4.303	7.48
2v7u	SAM	4.237	5.90
2v7v	5FD	3.929	6.66
2vhw	NAI	4.643	5.09
2vkm	BSD	7.333	8.74
2vmd	MBG	2.611	3.02
2vpn	4CS	4.707	6.72
2vuk	P83	3.691	3.82
2vw5	BC6	6.532	8.52
2w26	RIV	7.567	9.40
2zmm	35B	6.283	7.60
2zn7	410	6.404	7.89
3b3c	PLU	5.397	3.98
3b7r	BIR	7.939	7.70
3bex	PAU	2.144	5.57
3bl0	BL0	6.984	6.92
3brn	SRO	5.443	8.70
3bu1	HSM	4.547	8.15
3bxe	13P	4.395	5.48
3c2f	PRP	4.655	2.00
3c2o	NTM	3.924	3.35
3c2r	PHT	3.528	3.11
3c7i	TVN	6.620	5.64
3ccw	4HI	7.459	7.87
3ccz	5HI	7.533	7.29
3cd7	882	7.840	7.84
3czv	AZM	7.861	7.80
3d2r	ADP	4.088	5.48
3d51	GOX	3.985	4.15
3d83	GK6	7.529	8.36
3ddg	GB7	5.041	6.00
3dp4	AMQ	5.667	7.37
3e92	G6A	7.485	8.00
3eko	PYU	4.397	6.70
3ekr	PY9	6.034	5.55
3ene	NPZ	6.370	6.24
3eqr	T74	7.491	8.70
3f8c	HT1	5.747	7.68
3fat	AMQ	5.392	7.64
