PDB_IDs	Ligand_Codes	Predictions	Labels
2are	MAN	3.8653	3.2800
2oag	DLI	8.5498	8.4700
2jbj	G88	8.7286	9.7000
2pwd	NOJ	4.7486	4.4000
2pwg	CTS	4.3197	4.8200
2oym	MNI	6.1011	5.0000
2hzy	DHJ	5.3330	7.3900
2ihj	CSF	4.7973	4.5900
2ojg	19A	6.8238	5.6400
2hzl	PYR	4.7754	6.5700
2ovv	PFH	7.0295	7.9200
2nta	521	5.6367	4.8000
2qu6	857	7.6643	8.5200
2pog	WST	7.5312	9.5400
2o4j	VD4	8.7067	10.1000
3b92	440	7.3636	8.0000
2p98	YE7	5.7089	6.1900
2z4b	DC8	8.7771	9.3600
2jj3	JJ3	8.9842	9.5500
2h15	B19	8.1186	5.6700
2pov	I7B	7.1445	7.1200
2pow	I7C	7.8589	7.2000
2nmx	M25	4.8282	5.5700
1vso	AT1	7.8597	4.7200
2p95	ME5	7.7683	9.3700
2p16	GG2	7.3851	10.1000
2flr	7NH	5.2740	6.1000
2pgz	COC	6.6204	5.7400
2bys	LOB	8.2194	9.5200
2gkl	PD2	4.7364	5.3500
2nsl	C2R	4.2273	4.6800
2nsj	C2R	4.2273	4.7900
2c92	TP6	5.5053	5.6800
2c94	TSF	5.6131	6.8200
2nnq	T4B	6.3909	8.7000
2psv	MUV	8.4225	7.2400
2cem	2AH	9.2097	7.9200
2cen	4AH	9.2346	8.3000
2q54	MU1	8.8630	9.0100
2b3f	GAL	5.2976	6.0300
2bbf	344	5.2373	5.1000
2e2r	2OH	6.9698	8.2600
2gz2	A2P	4.5606	5.2200
2hr6	DUD	4.9279	4.9200
2idz	ZID	5.2399	9.4000
2ihk	CSF	4.7973	4.1600
2jff	LK2	2.9656	3.6200
2oiq	STI	6.9037	4.9400
2otz	1MR	2.8020	3.6300
2ou0	MR3	2.4650	3.2300
2pjo	NMU	4.1724	0.0500
2pzv	IPH	4.4878	3.8700
2q88	4CS	4.9496	5.8000
2q89	6CS	6.0387	6.3000
2qeh	SRO	8.0308	8.6200
2qvu	FDP	6.4232	6.4400
2r3d	ACM	4.0939	-0.1500
2r5p	MK1	8.0676	8.4800
2rde	C2E	6.7444	7.0100
2v8q	AMP	5.5187	4.6100
3b50	SLB	5.2045	7.5500
3bgq	VX2	7.9462	7.9600
3bgz	VX3	6.4364	6.2600
2v8y	MGV	5.5078	5.7100
2jgb	MGT	5.7861	5.6100
1gja	135	5.6077	5.4200
1swk	BTN	12.0538	12.0000
1toi	HCI	3.3079	4.0500
1iup	ALQ	4.4231	2.5400
1tog	HCI	3.3079	3.2200
1uto	PEA	3.1501	2.2700
1ukb	BEZ	4.1204	3.1900
2cjp	VPR	4.4980	3.1000
1vot	HUP	6.1190	6.6000
2fx6	270	2.9755	3.7000
2c1q	BTN	10.4506	13.0000
2e2p	ADP	4.1743	4.7400
2epn	NGT	6.7417	7.2200
2i2c	DTA	4.3304	4.7000
2j4k	U5P	4.3038	4.8500
2jdu	MFU	5.9820	6.7200
2jdy	MMA	5.5815	4.3700
2jke	NOJ	5.0269	4.2300
2p3t	993	8.1244	11.3000
2p4y	C03	7.3185	9.0000
2p7g	2OH	6.9698	6.5300
2pqc	RC1	7.1515	5.7400
2q6m	P34	3.9747	6.2900
2q8z	NUP	5.1900	5.6800
2qbq	4B3	6.2787	7.4400
2qbr	910	5.6591	6.3300
2qdt	I38	4.9956	5.1900
2qhy	MZ1	7.7210	7.4800
2qhz	MZ2	8.8187	7.2800
2qi1	MZ4	8.0918	7.3000
2qi3	MZ5	8.6164	10.2000
2qi4	MZ6	9.0174	10.4400
2qi5	MZ7	8.5331	10.8500
2qi6	MZ8	8.4313	10.5700
2qmg	SC6	7.8304	9.1500
2qnq	QN3	7.6286	6.1100
2qrl	OGA	3.5653	4.0000
2qry	TPS	5.2573	8.6400
2r6w	LLB	8.0558	9.3600
2r75	01G	5.3802	6.1500
2reg	CHT	4.8790	5.5700
2rkd	3PP	4.5915	2.7200
2uwl	895	7.2648	8.4000
2uwp	894	7.5858	6.8100
2uy4	AZM	5.8920	4.6800
2v2c	PGA	3.5450	3.4100
2v77	PAY	5.2634	5.0600
2v7t	SAH	4.6357	7.4800
2v7u	SAM	4.1116	5.9000
2v7v	5FD	3.8137	6.6600
2vhw	NAI	5.3320	5.0900
2vkm	BSD	7.2948	8.7400
2vmd	MBG	3.4232	3.0200
2vpn	4CS	5.1029	6.7200
2vuk	P83	3.8783	3.8200
2vw5	BC6	5.3070	8.5200
2w26	RIV	5.7633	9.4000
2zmm	35B	6.3712	7.6000
2zn7	410	6.5725	7.8900
3b3c	PLU	5.5516	3.9800
3b7r	BIR	7.2763	7.7000
3bex	PAU	2.7071	5.5700
3bl0	BL0	7.5673	6.9200
3brn	SRO	5.9504	8.7000
3bu1	HSM	5.0702	8.1500
3bxe	13P	4.5720	5.4800
3c2f	PRP	5.0387	2.0000
3c2o	NTM	3.7547	3.3500
3c2r	PHT	3.1032	3.1100
3c7i	TVN	6.5308	5.6400
3ccw	4HI	7.9641	7.8700
3ccz	5HI	7.9504	7.2900
3cd7	882	8.2277	7.8400
3czv	AZM	7.1467	7.8000
3d2r	ADP	4.3168	5.4800
3d51	GOX	2.9966	4.1500
3d83	GK6	7.5959	8.3600
3ddg	GB7	3.9440	6.0000
3dp4	AMQ	5.8731	7.3700
3e92	G6A	7.4349	8.0000
3eko	PYU	4.3711	6.7000
3ekr	PY9	6.6625	5.5500
3ene	NPZ	6.9666	6.2400
3eqr	T74	7.7922	8.7000
3f8c	HT1	5.9129	7.6800
3fat	AMQ	5.8031	7.6400
