PDB_IDs	Ligand_Codes	Predictions	Labels
4ypw	4FD	3.288	5.50
4ypx	4FG	2.770	4.60
4ypy	4F9	2.869	3.80
4ypz	4FL	3.303	3.50
4yq0	4FM	3.983	4.40
4yq1	4FN	6.002	8.30
4yq2	EFY	5.994	8.30
4yq3	4G1	5.910	6.80
4yq4	4G3	3.504	5.70
4yq5	4G0	4.339	5.40
4yq6	4FX	3.338	6.10
4yq7	4G4	4.206	5.20
4yq8	4FV	4.083	5.10
4yq9	4GO	4.159	6.70
4yqa	4GN	3.705	6.30
4yqb	4GM	3.461	5.90
4yqc	EFW	4.208	6.70
4yqd	4GZ	5.837	5.10
4yqg	4GY	4.082	5.70
4yqi	4GX	3.343	4.80
4yqj	4GT	3.848	6.20
4yqk	4GS	4.091	4.70
4yql	4H4	5.558	4.80
4yqn	4H3	3.874	5.80
4yqo	4H1	4.935	6.30
4yqp	4H6	4.377	5.70
4yqq	4H7	4.547	6.10
4yqr	4HQ	4.016	4.00
4yqs	4H9	3.565	5.60
4yqt	4H8	4.204	6.10
4yjo	4DF	7.383	7.90
4yjp	4DL	7.820	8.46
4yjq	4DK	7.758	7.95
4yjr	4DJ	7.795	7.69
4yjs	4DN	7.944	9.39
4yjt	4DQ	7.306	8.79
4yju	4DO	7.417	7.94
4yjv	4DT	7.789	8.55
4ykr	4EP	6.387	7.53
4ykq	4EO	6.469	7.61
4ykt	4EQ	7.251	8.28
4ykw	4ES	6.321	7.02
4ykx	4ET	4.653	5.56
4ykz	4EV	4.935	5.06
4yky	4EU	4.562	4.30
4yku	4ER	4.974	5.12
